Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
Kraft Paper,Wet Wipes Pack,Household,3,0.69,8,79.97,1.69,1.26
Recycled Plastic,Pallet Wrap,Logistics,9,5.39,1,78.84,2.89,2.46
Jute,Fertilizer Bag,Agriculture,3,2.26,10,67.38,4.18,0.71
Bioplastic (PLA),Book Packaging Wrap,Retail,6,0.33,9,77.95,3.32,1.43
Bioplastic (PLA),Milk Carton,Food & Beverage,3,1.58,10,74.49,3.6,1.24
Corrugated Cardboard,Phone Box,Electronics,6,7.26,7,81.9,2.68,0.54
Recycled Plastic,Seedling Tray,Agriculture,5,28.83,1,79.84,1.48,2.06
Cardboard,Butter Tub,Food & Beverage,8,0.39,7,75.05,2.04,0.95
Recycled Plastic,Shampoo Bottle,Personal Care,3,0.5,1,76.43,1.18,2.46
Recycled Plastic,Floor Cleaner Bottle,Household,9,2.29,2,71.66,1.58,2.95
HDPE Plastic,Spray Bottle,Cosmetics,4,4.52,2,78.51,3.42,2.79
Aluminum,Chocolate Wrapper,Food & Beverage,9,0.09,3,93.67,3.14,1.95
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,8,25.64,1,89.42,2.97,2.66
Kraft Paper,Pet Food Bag,Pet Care,8,5.43,9,80.49,1.11,1.95
PET Plastic,Honey Jar,Food & Beverage,8,0.46,1,55.91,2.5,2.95
Aluminum,Cooking Oil Bottle,Food & Beverage,7,0.96,3,90.47,3.03,2.08
PP Plastic,Wet Wipes Pack,Household,7,0.65,3,54.2,2.25,2.62
HDPE Plastic,Bubble Wrap,Logistics,4,0.71,2,59.88,3.34,3.91
Bioplastic (PLA),Butter Tub,Food & Beverage,9,0.17,10,67.3,2.85,0.72
Bioplastic (PLA),Dishwash Liquid Bottle,Household,8,0.47,8,62.09,3.94,0.79
PET Plastic,Floor Cleaner Bottle,Household,3,0.85,2,63.71,1.57,2.62
Kraft Paper,Laundry Detergent Box,Household,7,3.59,10,72.8,1.36,1.77
Tempered Glass,Pharma Vial,Pharmaceuticals,5,3.55,1,85.6,5.24,4.84
Bioplastic (PLA),Seedling Tray,Agriculture,7,1.67,8,77.72,2.09,0.69
Tempered Glass,Pharma Vial,Pharmaceuticals,5,3.52,2,76.32,5.88,5.38
Foam,Laptop Packaging Box,Electronics,4,4.1,9,63.33,3.05,1.18
Cardboard,Egg Carton,Food & Beverage,6,0.74,7,76.43,1.51,1.41
Molded Pulp,Egg Carton,Food & Beverage,8,0.97,10,70.33,3.4,0.8
PP Plastic,Wet Wipes Pack,Household,7,0.12,2,64.54,1.57,3.79
Corrugated Cardboard,Cosmetic Packaging Box,Cosmetics,4,23.41,9,85.15,1.24,1.75
Recycled Plastic,Body Lotion Bottle,Personal Care,3,0.53,1,81.52,1.33,1.75
Aluminum,Spray Bottle,Cosmetics,8,4.03,1,87.65,2.49,2.35
Cardboard,Ice Cream Tub,Food & Beverage,3,0.55,7,85.25,1.44,0.72
Glass,Pharma Vial,Pharmaceuticals,6,2.8,1,88.1,3.47,3.04
Glass,Body Lotion Bottle,Personal Care,10,0.61,1,76.14,3.44,5.38
Aluminum,Conditioner Bottle,Personal Care,9,0.31,2,92.71,1.52,2.36
Corrugated Cardboard,Charger Adapter Box,Electronics,5,0.4,8,81.8,1.18,0.81
Corrugated Cardboard,Laundry Detergent Box,Household,8,2.91,10,72.1,1.28,1.42
Glass,Medicine Bottle,Pharmaceuticals,4,4.95,1,82.9,5.75,3.5
HDPE Plastic,Conditioner Bottle,Personal Care,3,0.67,1,52.1,2.77,3.31
Recycled Plastic,Lipstick Tube,Cosmetics,6,2.29,2,70.34,2.04,2.17
Kraft Paper,Shopping Bag,Retail,3,2.27,10,78.48,2.49,1.87
Recycled Plastic,Garbage Bag,Household,4,3.1,2,73.52,1.31,1.73
Bioplastic (PLA),Water Bottle,Food & Beverage,3,1.31,10,61.94,2,1.46
Recycled Plastic,Shipping Box,Logistics,7,10.85,3,78.51,2.08,3.12
HDPE Plastic,Syringe Packaging,Pharmaceuticals,4,14.22,1,55.69,2.05,4.61
PP Plastic,Butter Tub,Food & Beverage,7,0.23,1,51.39,2.58,3.34
Molded Pulp,Laptop Packaging Box,Electronics,4,3.33,10,73.32,3.08,0.56
HDPE Plastic,Conditioner Bottle,Personal Care,3,0.67,1,57.11,3.05,3.32
Kraft Paper,Sterile Wrap,Healthcare,8,3.17,9,81.11,2.31,1.72
Bioplastic (PLA),Tissue Box,Household,7,0.16,10,71.01,2.46,1.23
Bioplastic (PLA),Sugar Pouch,Food & Beverage,5,2.91,10,83.77,2.52,1.33
Cardboard,Cereal Box,Food & Beverage,9,0.5,10,70.63,1.87,1.56
Aluminum,Beverage Can,Food & Beverage,9,0.99,2,91.16,2.39,1.69
PP Plastic,Wet Wipes Pack,Household,7,0.42,1,56.79,3.31,3.36
Bioplastic (PLA),Cream Jar,Cosmetics,7,4.18,9,72.78,2.31,1.04
Corrugated Cardboard,Component Tray,Electronics,8,2.56,7,76.84,2.8,1.61
Bioplastic (PLA),Face Wash Tube,Personal Care,9,0.34,8,62.58,2.1,0.82
Cardboard,Soap Bar Wrapper,Personal Care,5,0.15,10,73.75,1.02,0.64
Cardboard,Charger Adapter Box,Electronics,7,0.25,8,78.28,2.58,2
Glass,Yogurt Cup,Food & Beverage,5,0.19,2,83.82,6.62,5.36
Recycled Plastic,Pallet Wrap,Logistics,4,9.48,1,86.48,1.34,2.28
Bioplastic (PLA),Hair Oil Bottle,Personal Care,10,0.21,8,76.84,2.04,1.21
Bioplastic (PLA),Juice Carton,Food & Beverage,9,16.21,10,75.01,2.33,0.76
Molded Pulp,Laptop Packaging Box,Electronics,6,20.33,8,82.11,3.31,1.34
Steel,Chemical Storage Bottle,Chemicals,8,2.74,1,63.65,6.38,5.13
PP Plastic,Floor Cleaner Bottle,Household,5,1.62,3,69.64,2.17,3.44
Kraft Paper,Tissue Box,Household,3,0.37,7,78.04,1.29,1.83
Aluminum,Water Bottle,Food & Beverage,7,0.26,2,86.21,2.42,1.71
Recycled Plastic,Lipstick Tube,Cosmetics,4,2.82,1,87.45,2.05,1.54
HDPE Plastic,Spray Bottle,Cosmetics,9,3.26,1,79.88,1.86,4.01
Aluminum,Deodorant Stick,Personal Care,9,0.15,1,89.41,2.94,1.89
Molded Pulp,Seedling Tray,Agriculture,3,14.71,10,70.21,2.36,0.51
Bioplastic (PLA),Milk Carton,Food & Beverage,3,1.41,9,73.77,2.23,1.43
Recycled Plastic,Perfume Bottle,Cosmetics,9,1.84,1,81.06,1.42,2.07
Molded Pulp,Seedling Tray,Agriculture,7,2.03,8,82.4,2.2,0.52
Molded Pulp,Ice Cream Tub,Food & Beverage,3,0.62,10,66.53,1.65,0.75
Molded Pulp,Egg Carton,Food & Beverage,8,1.57,8,68.86,3.04,1.01
Aluminum,Spray Bottle,Cosmetics,9,2.11,2,85.57,1.56,1.68
PET Plastic,Cooking Oil Bottle,Food & Beverage,5,3.37,1,77.01,2.28,4.42
Glass,Beverage Can,Food & Beverage,3,4.01,1,86.77,6.39,3.03
Recycled Plastic,Sauce Bottle,Food & Beverage,5,0.77,3,75.92,2.93,3.47
PP Plastic,Toothpaste Tube,Personal Care,10,0.25,1,63.56,1.8,3.45
Cardboard,Cereal Box,Food & Beverage,5,1.01,7,78.52,2.98,0.73
Bioplastic (PLA),Dishwash Liquid Bottle,Household,3,0.41,8,69.17,3.52,1.19
Steel,Beverage Can,Food & Beverage,5,0.61,1,75.1,6.15,6.06
Cardboard,Laptop Packaging Box,Electronics,4,19.35,10,84.69,2,1.41
Aluminum,Perfume Bottle,Cosmetics,10,4.81,3,91.8,2.8,1.54
PET Plastic,Shampoo Bottle,Personal Care,10,0.65,1,63.94,2.8,2.64
Glass,Butter Tub,Food & Beverage,6,0.17,2,71.42,5.96,4.52
Kraft Paper,Soap Bar Wrapper,Personal Care,10,0.14,8,75.82,2.74,1.86
Cardboard,Milk Carton,Food & Beverage,9,1.23,9,76.81,1.65,1.14
Aluminum,Conditioner Bottle,Personal Care,9,0.73,2,88.66,1.96,1.7
Cardboard,Milk Carton,Food & Beverage,7,1.39,8,77.61,2.54,1.56
Glass,Pharma Vial,Pharmaceuticals,3,4.83,2,72.76,6.77,5.02
HDPE Plastic,Fertilizer Bag,Agriculture,4,0.49,2,73.89,3.27,3.82
Recycled Plastic,Egg Carton,Food & Beverage,3,0.97,3,76.21,1.66,1.88
Kraft Paper,Power Bank Box,Electronics,10,0.48,10,89.77,1.43,0.98
Jute,Fertilizer Bag,Agriculture,7,0.68,8,70.25,4.82,0.92
Bioplastic (PLA),Soap Bar Wrapper,Personal Care,4,0.18,8,76.51,3.05,0.33
PET Plastic,Perfume Bottle,Cosmetics,6,0.62,2,58.47,2.15,3.55
PET Plastic,Cooking Oil Bottle,Food & Beverage,7,3,2,74.31,2.68,3.77
Aluminum,Honey Jar,Food & Beverage,8,0.63,2,90.62,3.2,1.74
Recycled Plastic,Power Bank Box,Electronics,4,0.51,1,70.99,1.38,2.96
HDPE Plastic,Body Lotion Bottle,Personal Care,4,0.38,2,65.8,2.1,3.59
Corrugated Cardboard,Shipping Box,Logistics,4,9.94,9,85.03,1.32,1.01
Recycled Plastic,Hair Oil Bottle,Personal Care,5,0.18,3,80.14,2.68,2.66
Bioplastic (PLA),Butter Tub,Food & Beverage,7,0.8,10,63.97,2.28,1.04
Recycled Plastic,Pill Blister Pack,Pharmaceuticals,3,45.63,3,82.68,1.85,2.36
Cardboard,Pizza Box,Food & Beverage,9,19.46,9,88.3,2.07,0.74
PET Plastic,Body Lotion Bottle,Personal Care,4,0.74,2,56.28,1.52,5.49
Bamboo,Cosmetic Packaging Box,Cosmetics,6,20.99,9,67.9,3.7,1.23
Recycled Plastic,Conditioner Bottle,Personal Care,10,0.33,2,82.31,1.17,3.26
Molded Pulp,Medical Device Box,Healthcare,7,4.67,8,83.29,3.13,0.85
HDPE Plastic,Floor Cleaner Bottle,Household,8,2.48,3,50.61,3.47,2.68
Bioplastic (PLA),Seedling Tray,Agriculture,9,24.71,8,74.24,2.72,1.45
Cardboard,Butter Tub,Food & Beverage,4,0.27,9,76.08,1.05,0.6
Recycled Plastic,Blister Pack,Retail,9,45.09,1,74.26,1.58,2.66
Tempered Glass,Syringe Packaging,Pharmaceuticals,10,17.48,2,94.71,4.37,5.12
Bagasse Fiber,Bread Bag,Food & Beverage,3,0.58,9,76.52,3.2,0.57
Bagasse Fiber,Juice Carton,Food & Beverage,4,21.25,10,81.18,2.85,0.95
Recycled Plastic,Spray Bottle,Cosmetics,10,4.07,3,85.75,1.82,3.15
Corrugated Cardboard,Cereal Box,Food & Beverage,9,0.35,7,78.88,2.98,1.23
PET Plastic,Beverage Can,Food & Beverage,4,1.07,3,58.95,2.78,3.36
Bioplastic (PLA),Garbage Bag,Household,8,10.54,10,67.01,2.15,1.05
HDPE Plastic,Pallet Wrap,Logistics,8,3.47,1,77.2,1.8,3.65
Bioplastic (PLA),Yogurt Cup,Food & Beverage,3,0.56,10,75.96,2.76,0.31
Tempered Glass,Syringe Packaging,Pharmaceuticals,9,21.45,2,93.88,3.56,3.86
Kraft Paper,Razor Packaging,Personal Care,10,0.12,10,83.13,1.33,0.58
Recycled Plastic,Sterile Wrap,Healthcare,3,9.93,1,84.15,1.32,2.22
PP Plastic,Bread Bag,Food & Beverage,6,0.88,2,62.51,3.44,2.82
Cardboard,Deodorant Stick,Personal Care,6,0.09,7,82.97,2.27,1.33
Recycled Plastic,Toilet Cleaner Bottle,Household,9,0.51,1,83.46,1.52,3.29
Corrugated Cardboard,Phone Box,Electronics,9,26.02,8,79.41,1.87,0.94
Recycled Plastic,Ice Cream Tub,Food & Beverage,3,0.94,1,77.68,2.98,1.79
Bagasse Fiber,Food Container,Food & Beverage,5,41.59,9,84.49,1.77,0.65
Cardboard,Blister Pack,Retail,8,20.21,10,87.39,1.27,1.03
Recycled Plastic,Tea Pouch,Food & Beverage,3,0.45,2,83.98,2.6,2.94
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,8,0.4,8,82.2,2.55,1.18
Aluminum,Pharma Vial,Pharmaceuticals,8,4.86,2,86.73,3.27,2.15
PET Plastic,Face Wash Tube,Personal Care,3,0.2,2,53.02,2.35,3.42
PP Plastic,Seedling Tray,Agriculture,3,11.01,1,54.52,1.91,3.11
Bioplastic (PLA),Pet Food Bag,Pet Care,4,14.63,10,67.13,2.8,1.37
PET Plastic,Dishwash Liquid Bottle,Household,10,0.68,3,53.47,1.89,4.03
Bagasse Fiber,Snack Packaging,Food & Beverage,5,11.01,8,76.01,3.13,1.46
HDPE Plastic,Body Lotion Bottle,Personal Care,8,0.52,1,79.04,2.01,5.08
Aluminum,Chocolate Wrapper,Food & Beverage,9,0.24,3,94.37,3.34,2.22
HDPE Plastic,Dishwash Liquid Bottle,Household,3,0.66,2,63.79,2.29,4.69
HDPE Plastic,Conditioner Bottle,Personal Care,7,0.41,3,61.96,1.79,3.6
Cardboard,Juice Carton,Food & Beverage,7,7.55,10,70.81,2.02,1.52
Recycled Plastic,Tissue Box,Household,8,0.34,1,83.36,2.41,1.84
Corrugated Cardboard,Book Packaging Wrap,Retail,4,0.95,8,72.38,1.28,1.02
Molded Pulp,Laptop Packaging Box,Electronics,3,6.59,8,80.77,2.87,1.45
Bagasse Fiber,Juice Carton,Food & Beverage,7,1.51,9,66.71,3.23,0.95
Bioplastic (PLA),Sterile Wrap,Healthcare,10,0.77,8,75.07,3.63,0.66
Kraft Paper,Gift Box,Retail,9,19.9,9,86.08,2.21,1.13
Recycled Plastic,Fertilizer Bag,Agriculture,10,3.65,2,76.33,1.67,2.76
Cardboard,Yogurt Cup,Food & Beverage,8,0.53,10,75.17,1.06,1.76
Recycled Plastic,Charger Adapter Box,Electronics,3,0.38,1,80.08,1.2,3.2
PET Plastic,Dishwash Liquid Bottle,Household,8,1.2,2,63.06,1.66,5.06
Bioplastic (PLA),Sterile Wrap,Healthcare,3,0.49,9,69.54,3.74,0.91
Molded Pulp,Phone Box,Electronics,7,14.07,10,77.56,1.79,0.95
Recycled Plastic,Industrial Drum,Chemicals,7,47.41,2,83.35,1.45,1.83
Recycled Plastic,Power Bank Box,Electronics,8,0.35,2,73.98,1.7,2.92
Recycled Plastic,Hair Oil Bottle,Personal Care,6,0.15,1,81.71,2.47,1.51
Kraft Paper,Tea Pouch,Food & Beverage,9,0.55,10,77.63,1.28,1.97
Recycled Plastic,Face Wash Tube,Personal Care,7,0.25,3,80.78,1.89,2.63
Recycled Plastic,Bread Bag,Food & Beverage,3,0.88,1,83.22,1.53,1.76
Recycled Plastic,Deodorant Stick,Personal Care,10,0.17,3,85.75,1.82,3.15
Kraft Paper,Pizza Box,Food & Beverage,8,29.75,10,85.49,2.32,0.78
Bagasse Fiber,Tea Pouch,Food & Beverage,3,0.29,10,74.33,2.38,1.34
Wood,Smartwatch Box,Electronics,5,0.12,8,61.29,7.96,2.51
Aluminum,Cooking Oil Bottle,Food & Beverage,7,0.92,1,86.45,2.6,1.56
Aluminum,Perfume Bottle,Cosmetics,7,4.68,2,94.86,2.36,1.81
Bioplastic (PLA),Shopping Bag,Retail,3,5.75,8,78.73,2.41,1.45
Recycled Plastic,Heavy Crate,Logistics,5,57.88,3,71.69,2.38,2.72
HDPE Plastic,Fertilizer Bag,Agriculture,9,4.31,3,61.49,3.02,2.64
Bioplastic (PLA),Bread Bag,Food & Beverage,8,0.73,9,64.01,2.85,0.43
Bioplastic (PLA),Food Container,Food & Beverage,8,26.18,8,62.58,3.1,1.47
Kraft Paper,Juice Carton,Food & Beverage,10,21.03,9,85.19,2.43,0.79
Bagasse Fiber,Pizza Box,Food & Beverage,7,12.14,10,73.22,3.32,1.19
PP Plastic,Laundry Detergent Box,Household,4,2.66,2,62.61,3.34,3.23
Recycled Plastic,Hair Oil Bottle,Personal Care,8,0.21,3,80.33,2.59,2.37
Cardboard,Razor Packaging,Personal Care,5,0.09,8,76.03,1.4,1.66
Glass,Honey Jar,Food & Beverage,6,0.29,2,77.33,5.73,5.62
Aluminum,Perfume Bottle,Cosmetics,10,2.15,3,88.17,2.58,2.19
PP Plastic,Pallet Wrap,Logistics,5,8.91,3,51.87,1.62,2.81
PP Plastic,Tea Pouch,Food & Beverage,4,0.43,1,72.26,2.37,3.28
Aluminum,Perfume Bottle,Cosmetics,9,3.84,2,86.61,2.97,1.93
Aluminum,Chocolate Wrapper,Food & Beverage,9,0.09,3,89.81,2.07,2.49
HDPE Plastic,Garbage Bag,Household,7,8.49,1,68.32,2.81,4.45
Aluminum,Coffee Pouch,Food & Beverage,10,0.36,2,89.89,3.15,1.78
Kraft Paper,Coffee Pouch,Food & Beverage,3,0.63,10,78.57,2.62,0.63
Corrugated Cardboard,Component Tray,Electronics,5,19.12,10,74.61,1.83,0.55
PP Plastic,Fertilizer Bag,Agriculture,3,4.11,3,73.89,3.03,4.32
Recycled Plastic,Earphone Box,Electronics,4,0.05,3,82.04,1.1,1.87
Aluminum,Lipstick Tube,Cosmetics,10,1.77,3,91.26,3.34,1.54
Bioplastic (PLA),Face Wash Tube,Personal Care,4,0.34,9,61.16,3.41,1.32
Bioplastic (PLA),Tea Pouch,Food & Beverage,10,0.18,9,81.27,2.59,0.31
Cardboard,Medical Device Box,Healthcare,10,2.27,9,87.65,1.55,0.7
Aluminum,Cream Jar,Cosmetics,7,2.55,1,87.41,2.42,1.98
Aluminum,Pill Blister Pack,Pharmaceuticals,10,18.49,3,87.92,1.81,2.05
PET Plastic,Sauce Bottle,Food & Beverage,9,0.91,3,50.81,1.68,2.97
PP Plastic,Toothpaste Tube,Personal Care,10,0.17,3,62.89,2.43,2.61
PET Plastic,Face Wash Tube,Personal Care,6,0.22,1,70.68,3.44,4.9
HDPE Plastic,Sterile Wrap,Healthcare,5,6.82,1,55.33,1.6,2.57
PET Plastic,Body Lotion Bottle,Personal Care,5,0.32,1,59.62,2.99,5.41
PP Plastic,Instant Noodle Cup,Food & Beverage,10,0.13,2,74.1,2.01,3.46
Aluminum,Perfume Bottle,Cosmetics,8,4.8,3,89.92,2.09,2.27
Bioplastic (PLA),Hair Oil Bottle,Personal Care,5,0.42,10,75.25,2.81,0.68
Molded Pulp,Medical Device Box,Healthcare,7,26.78,10,67.8,1.77,0.78
Kraft Paper,Paper Carry Bag,Retail,10,7.76,7,80.51,2.85,1.45
PP Plastic,Fertilizer Bag,Agriculture,9,6.46,1,63.33,3.34,4.07
PET Plastic,Shampoo Bottle,Personal Care,9,0.62,3,66.66,3.04,5.33
HDPE Plastic,Syringe Packaging,Pharmaceuticals,7,10.65,1,73.85,2.41,4.98
Kraft Paper,Smartwatch Box,Electronics,3,0.36,7,73.12,1.95,1.64
Recycled Plastic,Dishwash Liquid Bottle,Household,3,0.48,2,77.54,1.52,2.77
Cardboard,Tissue Box,Household,9,0.33,7,70.04,2.75,0.62
Kraft Paper,Cereal Box,Food & Beverage,7,0.67,10,80.78,1.3,1.19
Recycled Plastic,Yogurt Cup,Food & Beverage,5,0.34,1,70.24,1.24,2.64
HDPE Plastic,Pallet Wrap,Logistics,5,2.58,2,68.76,1.68,3.52
Kraft Paper,Medical Device Box,Healthcare,6,26.52,9,78.27,2.46,1.01
Corrugated Cardboard,Charger Adapter Box,Electronics,5,0.28,10,82.24,2.93,1.41
Recycled Plastic,Cream Jar,Cosmetics,7,1.15,1,73.01,2.24,2.34
Corrugated Cardboard,Smartwatch Box,Electronics,4,0.4,10,88.93,2,1.25
HDPE Plastic,Sauce Bottle,Food & Beverage,7,0.65,2,51.79,3.34,3.46
Kraft Paper,Sugar Pouch,Food & Beverage,6,4.37,8,72.61,1.47,1.3
Bioplastic (PLA),Conditioner Bottle,Personal Care,3,0.61,9,65.69,3.93,1.39
Cardboard,Razor Packaging,Personal Care,7,0.14,7,73.54,2.12,1.97
HDPE Plastic,Bubble Wrap,Logistics,5,1.12,3,59.68,2.69,3.33
Bioplastic (PLA),Face Wash Tube,Personal Care,6,0.32,8,77.65,3.07,1.11
Kraft Paper,Paper Carry Bag,Retail,5,5,8,81.99,1.23,1.72
Steel,Beverage Can,Food & Beverage,3,1.13,1,65.08,9.52,7.88
Bagasse Fiber,Snack Packaging,Food & Beverage,3,21.16,10,74.87,1.58,1.48
Aluminum,Shampoo Bottle,Personal Care,8,0.41,2,90.68,2.88,2.3
Recycled Plastic,Butter Tub,Food & Beverage,4,0.35,2,76.32,1.41,2.32
Bagasse Fiber,Tea Pouch,Food & Beverage,8,0.31,9,80.17,2.6,1.12
Foam,Component Tray,Electronics,7,24.23,10,80.57,2.32,0.7
Bioplastic (PLA),Sterile Wrap,Healthcare,5,2.41,9,82.5,2.93,0.92
Recycled Plastic,Beverage Can,Food & Beverage,4,4.22,3,73.76,2.25,2.17
Corrugated Cardboard,Smartwatch Box,Electronics,10,0.11,8,83,1.89,0.59
HDPE Plastic,Lipstick Tube,Cosmetics,3,2.92,2,56.52,3.02,4.85
Glass,Water Bottle,Food & Beverage,9,3.94,2,87.6,3.85,3.41
Glass,Butter Tub,Food & Beverage,4,0.24,1,79.12,4.02,5.3
PP Plastic,Instant Noodle Cup,Food & Beverage,6,0.39,1,63.53,2.14,3.82
Bioplastic (PLA),Lipstick Tube,Cosmetics,8,1.31,8,70.78,3.94,1.12
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,6,2.63,3,77.43,3.25,3.63
Recycled Plastic,Paper Carry Bag,Retail,5,5.58,3,72.54,1.78,1.57
HDPE Plastic,Honey Jar,Food & Beverage,7,0.78,2,76.97,1.54,5.21
Bioplastic (PLA),Toilet Cleaner Bottle,Household,7,1.12,9,75.3,3.23,1.03
Kraft Paper,Charger Adapter Box,Electronics,9,0.33,8,81.31,1.18,1.08
PET Plastic,Sauce Bottle,Food & Beverage,8,1.31,2,56.73,1.72,4.79
Kraft Paper,Fertilizer Bag,Agriculture,4,8.41,7,88.84,1.03,1.64
Recycled Plastic,Power Bank Box,Electronics,6,0.72,1,73,1.15,3.23
Recycled Plastic,Deodorant Stick,Personal Care,6,0.14,3,74.55,1.01,2.11
Aluminum,Coffee Pouch,Food & Beverage,7,0.56,1,89.98,2.69,2.34
Corrugated Cardboard,Laundry Detergent Box,Household,8,1.71,8,81.9,1.03,0.6
Recycled Plastic,Face Wash Tube,Personal Care,4,0.33,2,83.6,1.12,3.36
Bioplastic (PLA),Produce Bag,Agriculture,5,2.46,10,70.1,3.51,0.32
Recycled Plastic,Syringe Packaging,Pharmaceuticals,4,19.58,1,73.54,1.81,1.81
PP Plastic,Pharma Vial,Pharmaceuticals,7,3.29,3,65.32,2.55,4.92
Kraft Paper,Produce Bag,Agriculture,7,3.02,7,74.46,2.35,1.78
Corrugated Cardboard,Laptop Packaging Box,Electronics,4,9.1,8,74.16,2.09,1.98
PET Plastic,Pallet Wrap,Logistics,10,5.12,2,64.99,3.12,4.46
PET Plastic,Razor Packaging,Personal Care,9,0.05,3,77.78,3.1,4.35
Glass,Water Bottle,Food & Beverage,8,1.1,1,93.85,5.42,3.69
PET Plastic,Cooking Oil Bottle,Food & Beverage,5,3.32,1,75.79,3.02,3.15
Recycled Plastic,Cream Jar,Cosmetics,10,0.88,3,74.74,1.65,2.46
Bioplastic (PLA),Food Container,Food & Beverage,10,37.84,8,73.56,2.3,0.76
HDPE Plastic,Hair Oil Bottle,Personal Care,6,0.39,1,68.75,1.53,4.74
Recycled Plastic,Syringe Packaging,Pharmaceuticals,8,20.3,3,78.21,1.05,1.5
Foam,Bubble Wrap,Logistics,6,7.81,9,74.28,2.96,1.33
Bagasse Fiber,Wet Wipes Pack,Household,6,0.53,10,82.47,3.07,0.42
Kraft Paper,Gift Box,Retail,4,17.08,9,89.49,1.49,1.82
Bioplastic (PLA),Bread Bag,Food & Beverage,7,0.37,9,67.11,3.81,0.52
Aluminum,Sauce Bottle,Food & Beverage,9,0.72,3,92.31,2.98,2.26
HDPE Plastic,Shampoo Bottle,Personal Care,9,0.58,1,71.89,2.77,5.16
PET Plastic,Floor Cleaner Bottle,Household,10,0.68,2,57.93,1.74,3.29
Recycled Plastic,Blister Pack,Retail,9,11.17,3,82.8,1.31,1.51
Aluminum,Face Wash Tube,Personal Care,10,0.15,2,90.62,2.69,1.87
Recycled Plastic,Soap Bar Wrapper,Personal Care,8,0.11,2,84.82,2.32,2.21
Kraft Paper,Wet Wipes Pack,Household,4,0.75,9,77.86,2.87,1.46
Cardboard,Ice Cream Tub,Food & Beverage,6,0.64,7,82.19,1.08,1.42
Aluminum,Deodorant Stick,Personal Care,7,0.09,1,87.63,2.66,2.2
Recycled Plastic,Toothpaste Tube,Personal Care,10,0.29,1,84.57,1.69,2.84
PET Plastic,Spray Bottle,Cosmetics,6,3.76,3,70.38,2,4.26
Bioplastic (PLA),Wet Wipes Pack,Household,10,0.79,8,81.85,2.36,0.81
Aluminum,Spray Bottle,Cosmetics,10,0.15,3,86.67,2.31,1.73
Bagasse Fiber,Shopping Bag,Retail,6,5.07,8,76.12,1.77,0.83
Aluminum,Water Bottle,Food & Beverage,10,2.47,2,92.6,2.56,2.22
Glass,Perfume Bottle,Cosmetics,3,1.15,2,78.24,4.85,3.61
Bagasse Fiber,Tea Pouch,Food & Beverage,4,0.4,10,65.44,3.41,0.86
Corrugated Cardboard,Power Bank Box,Electronics,5,0.51,10,88.65,1.48,1.36
Recycled Plastic,Tissue Box,Household,7,0.21,2,70.43,1.78,2.85
Corrugated Cardboard,Cereal Box,Food & Beverage,5,0.68,9,79.86,2.56,1.54
Recycled Plastic,Yogurt Cup,Food & Beverage,9,0.4,2,73.25,2.57,2.98
Bioplastic (PLA),Tea Pouch,Food & Beverage,9,0.17,10,61.92,2.62,0.91
Recycled Plastic,Pallet Wrap,Logistics,7,2.96,1,76.45,1.69,3.2
PP Plastic,Face Wash Tube,Personal Care,9,0.32,1,65.62,3.06,4.46
HDPE Plastic,Honey Jar,Food & Beverage,10,0.63,3,57.97,3.06,5.37
Corrugated Cardboard,Cereal Box,Food & Beverage,10,0.73,10,74.72,1.54,1.99
PP Plastic,Seedling Tray,Agriculture,9,0.97,2,53.03,2.38,3.25
Bioplastic (PLA),Shopping Bag,Retail,6,7.01,8,83.64,4,1.39
Corrugated Cardboard,Phone Box,Electronics,6,27.01,9,83.61,2.81,1.85
Glass,Butter Tub,Food & Beverage,9,0.39,1,73.29,5.9,4.22
Cardboard,Charger Adapter Box,Electronics,7,0.25,10,82.91,1.7,1.8
Recycled Plastic,Medicine Bottle,Pharmaceuticals,10,3.52,3,73.12,2.94,2.85
Cardboard,Razor Packaging,Personal Care,3,0.06,9,88.9,1.01,1.2
Bioplastic (PLA),Butter Tub,Food & Beverage,4,0.44,10,79.19,3.45,0.54
Cardboard,Pizza Box,Food & Beverage,3,28.44,10,76.99,1.23,0.73
PP Plastic,Fertilizer Bag,Agriculture,3,0.53,2,67.46,2.91,3.63
Recycled Plastic,Egg Carton,Food & Beverage,3,1.45,2,71.28,1.58,2.11
PP Plastic,Bread Bag,Food & Beverage,9,1.11,1,58.3,3.17,4.29
Molded Pulp,Charger Adapter Box,Electronics,3,0.31,9,81.52,3.06,0.71
Glass,Water Bottle,Food & Beverage,7,1.26,1,79.37,4.14,5.61
Recycled Plastic,Pet Food Bag,Pet Care,7,13.1,2,71.32,1.66,1.54
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,8,21.05,3,78.47,2.41,3.39
Glass,Sauce Bottle,Food & Beverage,8,0.77,1,82.46,4.74,4.62
Bagasse Fiber,Juice Carton,Food & Beverage,7,5.37,8,72.32,1.96,0.64
Aluminum,Cooking Oil Bottle,Food & Beverage,7,2.26,1,94.76,3.38,1.93
