material_type,product_type,industry,strength,weight_capacity,biodegradability_score,recyclability,cost,co2_emission
Kraft Paper,Garment Bag,Textiles,6,10.81,8,93.81,0.82,0.603
Glass,Cream Jar,Cosmetics,9,28.22,1,98.9,5.49,1.788
Recycled PET,Garment Bag,Textiles,8,23.72,3,91.6,3.6,2.141
Mushroom Packaging,Medical Container,Healthcare,7,13.04,9,70.83,1.63,0.387
Recycled PET,Cream Jar,Cosmetics,10,27.03,2,88.81,3.51,2.096
PLA Bioplastic,Tile Packaging,Construction,8,11.16,7,62.77,1.92,1.231
Kraft Paper,Garment Bag,Textiles,5,5.31,9,89.38,0.88,0.618
Mushroom Packaging,Furniture Carton,Furniture,7,12.76,10,67.71,1.51,0.353
Corrugated Cardboard,Perfume Bottle,Cosmetics,6,33.4,8,90.69,0.62,0.785
Glass,Cosmetic Tube,Cosmetics,10,34.76,2,95.41,4.91,1.813
Aluminum,Hardware Container,Construction,8,30.82,2,99.3,3.99,3.535
Bagasse Fiber,Cement Liner Bag,Construction,6,6.87,10,78.63,1.54,0.534
Mushroom Packaging,Action Figure Pack,Toys,6,8.29,9,65.57,2.88,0.388
Kraft Paper,Oil Container,Automotive,6,13.43,10,94.77,1.22,0.627
Glass,Hardware Container,Construction,9,24.82,1,95.83,2.64,1.885
Mushroom Packaging,Appliance Carton,Home Appliances,6,11.95,9,68.03,2.6,0.317
Aluminum,Cream Jar,Cosmetics,8,29.83,1,99.66,2.91,3.502
PLA Bioplastic,Toy Box,Toys,6,9.91,6,61.17,2.5,1.225
Bagasse Fiber,Laptop Box,Electronics,6,11.94,10,74.42,1.92,0.433
Recycled PET,Pizza Box,Food Packaging,9,18.34,4,87.1,3.89,2.07
Glass,Medical Container,Healthcare,10,32.36,1,98.41,2.28,1.873
Bagasse Fiber,Cream Jar,Cosmetics,6,10.63,8,73.76,0.9,0.465
Bagasse Fiber,Tile Packaging,Construction,7,12.6,10,81.28,1.28,0.518
Glass,Tablet Blister Pack,Healthcare,10,35.84,1,97.28,3.05,1.825
Glass,Action Figure Pack,Toys,9,33.24,1,95.46,2.99,1.773
PLA Bioplastic,Toy Box,Toys,8,8.68,8,50.41,2.81,1.143
Aluminum,Laptop Box,Electronics,10,31.02,2,99.14,3.25,3.52
Mushroom Packaging,Garment Bag,Textiles,7,11.91,9,65.17,1.83,0.345
Aluminum,Cream Jar,Cosmetics,8,33.85,1,95.03,4.78,3.522
Glass,Protective Cushioning Pack,Furniture,9,35.26,1,95.46,3.8,1.786
Bagasse Fiber,Protective Cushioning Pack,Furniture,5,7.0,8,72.06,2.12,0.522
Aluminum,Cement Liner Bag,Construction,8,29.85,1,98.34,2.7,3.56
Recycled PET,Appliance Carton,Home Appliances,10,19.48,2,91.13,2.72,2.161
Bagasse Fiber,Cement Liner Bag,Construction,5,8.78,10,79.17,0.86,0.568
Glass,Board Game Box,Toys,9,23.87,2,95.89,2.25,1.756
Aluminum,Oil Container,Automotive,10,27.22,2,95.0,5.22,3.515
Corrugated Cardboard,Spare Parts Box,Automotive,8,27.28,9,91.81,0.71,0.755
Bagasse Fiber,Cream Jar,Cosmetics,6,8.63,8,77.37,1.71,0.517
Corrugated Cardboard,Cream Jar,Cosmetics,6,22.03,9,84.5,1.12,0.743
Corrugated Cardboard,Clothing Box,Textiles,9,21.83,8,83.88,1.02,0.773
Glass,Action Figure Pack,Toys,9,25.75,2,95.5,5.6,1.833
Recycled PET,Hardware Container,Construction,8,29.94,4,86.47,1.55,2.124
Glass,Furniture Carton,Furniture,10,37.09,1,95.98,4.66,1.664
Kraft Paper,Garment Bag,Textiles,7,8.75,10,89.24,1.46,0.61
Bagasse Fiber,Cement Liner Bag,Construction,7,12.19,10,72.89,1.75,0.466
Aluminum,Clothing Box,Textiles,10,26.83,1,99.78,5.31,3.511
Aluminum,Furniture Carton,Furniture,9,28.06,2,96.13,2.66,3.573
PLA Bioplastic,Furniture Carton,Furniture,8,12.01,8,52.35,1.84,1.113
Kraft Paper,Syringe Pack,Healthcare,5,14.32,8,90.2,0.61,0.627
Mushroom Packaging,Makeup Box,Cosmetics,5,15.3,9,74.25,2.88,0.488
Corrugated Cardboard,Laptop Box,Electronics,6,11.88,9,85.22,1.97,0.845
Bagasse Fiber,Medical Container,Healthcare,5,10.92,9,83.0,1.24,0.501
Corrugated Cardboard,Mobile Box,Electronics,7,16.71,7,83.73,1.48,0.705
PLA Bioplastic,Food Tray,Food Packaging,6,15.92,7,59.74,1.4,1.281
Corrugated Cardboard,Foam Insert Package,Home Appliances,9,19.88,8,84.06,1.35,0.767
Aluminum,Protective Cushioning Pack,Furniture,9,32.72,2,98.95,3.89,3.527
Bagasse Fiber,Garment Bag,Textiles,5,11.17,8,84.94,2.45,0.485
Glass,Clothing Box,Textiles,10,30.0,2,99.71,4.43,1.829
Glass,Toy Box,Toys,9,38.79,1,98.07,3.4,1.687
Bagasse Fiber,Cosmetic Tube,Cosmetics,7,11.69,8,78.01,0.99,0.566
Mushroom Packaging,Protective Box,Home Appliances,6,11.67,9,61.13,1.55,0.39
Glass,Clothing Box,Textiles,10,34.11,2,97.64,2.9,1.755
Recycled PET,Beverage Bottle,Food Packaging,9,27.74,2,88.12,2.13,2.045
Aluminum,Syringe Pack,Healthcare,9,21.8,1,99.99,5.05,3.485
Kraft Paper,Spare Parts Box,Automotive,7,5.61,10,90.89,0.97,0.638
Recycled PET,Cream Jar,Cosmetics,10,18.56,2,92.2,2.81,2.116
Recycled PET,Toy Box,Toys,8,15.79,2,92.28,1.79,2.054
Bagasse Fiber,Protective Box,Home Appliances,7,6.84,9,84.17,2.26,0.534
Aluminum,Laptop Box,Electronics,10,33.63,1,99.16,4.67,3.487
Bagasse Fiber,Perfume Bottle,Cosmetics,5,14.46,9,70.65,0.92,0.483
PLA Bioplastic,Protective Cushioning Pack,Furniture,9,17.74,7,54.73,2.42,1.247
PLA Bioplastic,Action Figure Pack,Toys,6,9.93,6,64.79,2.09,1.298
Corrugated Cardboard,Spare Parts Box,Automotive,7,31.18,8,84.97,0.62,0.847
Aluminum,Oil Container,Automotive,9,31.2,1,95.02,3.87,3.527
Kraft Paper,Foam Insert Package,Home Appliances,6,7.55,9,87.6,0.88,0.697
Corrugated Cardboard,Action Figure Pack,Toys,6,11.06,7,88.72,0.75,0.765
Aluminum,Medical Container,Healthcare,10,29.62,2,96.84,5.34,3.566
Bagasse Fiber,Pizza Box,Food Packaging,7,7.57,8,77.77,2.24,0.517
Aluminum,Clothing Box,Textiles,10,24.94,2,95.21,4.51,3.502
Bagasse Fiber,Assembly Kit Box,Furniture,5,8.48,9,84.61,1.59,0.455
Kraft Paper,Clothing Box,Textiles,6,11.1,10,88.82,0.79,0.569
Recycled PET,Pizza Box,Food Packaging,8,22.94,2,94.51,3.13,2.109
Kraft Paper,Foam Insert Package,Home Appliances,6,13.39,10,87.73,0.95,0.534
Bagasse Fiber,Cream Jar,Cosmetics,6,12.32,8,75.34,0.91,0.437
Recycled PET,Perfume Bottle,Cosmetics,9,17.46,2,89.62,2.78,2.08
Kraft Paper,Tile Packaging,Construction,7,7.01,10,93.36,1.27,0.652
PLA Bioplastic,Action Figure Pack,Toys,8,19.36,6,54.46,1.92,1.1
Glass,Fabric Wrap,Textiles,10,29.59,2,97.71,2.21,1.697
PLA Bioplastic,Beverage Bottle,Food Packaging,8,15.86,7,63.85,2.57,1.213
Corrugated Cardboard,TV Carton,Electronics,7,10.56,8,91.1,0.8,0.786
Mushroom Packaging,Oil Container,Automotive,6,13.74,10,68.24,1.79,0.45
Bagasse Fiber,Tablet Blister Pack,Healthcare,6,9.18,10,71.68,1.08,0.461
Corrugated Cardboard,Foam Insert Package,Home Appliances,9,27.9,7,91.09,1.0,0.789
Bagasse Fiber,Cosmetic Tube,Cosmetics,5,9.91,9,83.72,2.09,0.491
Mushroom Packaging,Hardware Container,Construction,6,13.93,9,64.11,2.39,0.393
Mushroom Packaging,Medicine Box,Healthcare,5,13.37,10,73.86,1.67,0.413
Recycled PET,Assembly Kit Box,Furniture,10,25.89,2,87.19,3.69,2.034
Recycled PET,Food Tray,Food Packaging,10,21.29,2,93.68,3.7,2.146
Glass,Spare Parts Box,Automotive,10,28.43,2,99.77,5.48,1.706
Mushroom Packaging,Mobile Box,Electronics,7,13.69,10,79.33,1.75,0.388
PLA Bioplastic,Syringe Pack,Healthcare,6,12.28,6,60.18,1.9,1.173
Corrugated Cardboard,Action Figure Pack,Toys,8,22.61,9,87.8,1.98,0.725
PLA Bioplastic,Tile Packaging,Construction,6,18.13,7,50.64,2.54,1.211
Bagasse Fiber,Protective Box,Home Appliances,5,11.99,9,73.58,0.85,0.539
Kraft Paper,Garment Bag,Textiles,5,5.06,10,87.78,0.38,0.652
Kraft Paper,Beverage Bottle,Food Packaging,7,8.11,9,92.26,0.86,0.547
Mushroom Packaging,Garment Bag,Textiles,5,10.72,10,79.5,3.29,0.415
Recycled PET,Medicine Box,Healthcare,10,15.15,3,91.74,2.85,2.153
Mushroom Packaging,Toy Box,Toys,5,10.73,9,74.58,2.34,0.447
Mushroom Packaging,Beverage Bottle,Food Packaging,7,10.93,10,63.68,1.44,0.335
Glass,Cement Liner Bag,Construction,9,33.7,1,98.69,4.63,1.782
Aluminum,Appliance Carton,Home Appliances,10,30.68,1,95.72,4.97,3.508
Recycled PET,Action Figure Pack,Toys,8,20.63,2,92.9,2.45,2.134
Recycled PET,Takeaway Container,Food Packaging,10,19.37,3,93.24,3.44,2.133
Glass,Protective Cushioning Pack,Furniture,10,33.05,2,99.86,5.86,1.796
Recycled PET,Protective Cushioning Pack,Furniture,9,22.75,3,91.16,2.01,2.162
Kraft Paper,Tile Packaging,Construction,4,14.32,8,88.06,0.93,0.607
Bagasse Fiber,Spare Parts Box,Automotive,5,10.5,10,83.31,1.29,0.495
Corrugated Cardboard,Mobile Box,Electronics,8,24.29,7,84.17,1.69,0.729
Glass,Fabric Wrap,Textiles,9,24.91,1,95.91,4.31,1.811
Mushroom Packaging,Assembly Kit Box,Furniture,6,16.63,9,77.87,2.66,0.396
Recycled PET,Takeaway Container,Food Packaging,8,20.89,2,85.55,3.49,2.068
Bagasse Fiber,Electronic Blister Pack,Electronics,6,13.42,8,78.1,1.47,0.43
Bagasse Fiber,Medical Container,Healthcare,6,12.0,9,79.66,2.36,0.53
Bagasse Fiber,Mobile Box,Electronics,5,14.98,10,74.46,1.71,0.48
Recycled PET,Clothing Box,Textiles,9,20.59,2,85.03,1.89,2.164
Kraft Paper,Furniture Carton,Furniture,7,12.86,8,91.19,1.14,0.641
Aluminum,Food Tray,Food Packaging,8,33.49,2,98.29,4.88,3.519
PLA Bioplastic,Garment Bag,Textiles,9,12.33,6,62.15,1.63,1.097
Mushroom Packaging,Fabric Wrap,Textiles,5,15.34,9,77.78,3.17,0.343
Kraft Paper,Perfume Bottle,Cosmetics,4,9.81,10,92.3,1.39,0.564
Corrugated Cardboard,Cement Liner Bag,Construction,7,24.14,8,82.21,0.92,0.841
Recycled PET,Medical Container,Healthcare,9,18.22,2,92.0,3.96,2.116
Recycled PET,Oil Container,Automotive,9,25.89,4,91.9,1.85,2.128
Kraft Paper,Appliance Carton,Home Appliances,4,6.43,9,87.62,0.54,0.577
Glass,Mobile Box,Electronics,10,38.7,1,96.01,2.74,1.771
Glass,Food Tray,Food Packaging,10,35.38,1,96.89,5.58,1.719
PLA Bioplastic,Clothing Box,Textiles,6,17.06,8,66.63,2.31,1.264
Bagasse Fiber,Battery Packaging,Automotive,7,10.45,8,76.31,1.06,0.406
Aluminum,Protective Cushioning Pack,Furniture,10,21.68,2,95.14,3.82,3.537
Glass,Makeup Box,Cosmetics,9,33.16,1,96.04,4.46,1.719
Kraft Paper,Hardware Container,Construction,7,10.27,10,88.34,0.4,0.526
Recycled PET,Pizza Box,Food Packaging,8,16.38,3,89.29,3.71,2.128
Mushroom Packaging,Cream Jar,Cosmetics,7,8.08,10,62.23,3.05,0.411
Mushroom Packaging,Cream Jar,Cosmetics,7,17.45,10,63.35,2.36,0.453
Aluminum,Laptop Box,Electronics,8,20.51,1,96.13,5.4,3.572
Mushroom Packaging,Furniture Carton,Furniture,7,8.56,10,71.09,2.16,0.356
Glass,Foam Insert Package,Home Appliances,9,33.75,1,99.73,5.94,1.793
Aluminum,Hardware Container,Construction,9,27.63,1,97.33,4.5,3.63
Kraft Paper,Perfume Bottle,Cosmetics,7,7.7,10,92.01,1.06,0.608
Bagasse Fiber,Cream Jar,Cosmetics,7,6.54,10,71.25,1.08,0.521
Corrugated Cardboard,Electronic Blister Pack,Electronics,9,34.23,7,84.5,1.82,0.718
Aluminum,Oil Container,Automotive,9,20.67,2,99.37,3.78,3.487
Corrugated Cardboard,Protective Box,Home Appliances,6,15.48,9,91.29,0.74,0.766
Mushroom Packaging,Cream Jar,Cosmetics,5,13.38,10,74.57,1.23,0.42
PLA Bioplastic,Toy Box,Toys,8,9.7,6,57.94,2.12,1.181
Glass,Laptop Box,Electronics,10,26.32,2,97.02,4.11,1.805
Kraft Paper,Furniture Carton,Furniture,6,9.56,9,85.3,1.16,0.596
Mushroom Packaging,Makeup Box,Cosmetics,7,14.56,10,66.29,3.25,0.404
Bagasse Fiber,Cream Jar,Cosmetics,6,12.05,8,81.5,0.93,0.485
Corrugated Cardboard,Foam Insert Package,Home Appliances,9,33.6,7,81.92,1.6,0.781
Bagasse Fiber,Protective Cushioning Pack,Furniture,7,9.8,9,79.09,1.12,0.516
Recycled PET,Fabric Wrap,Textiles,9,23.55,2,94.09,3.65,2.066
Corrugated Cardboard,Makeup Box,Cosmetics,8,32.13,7,85.08,1.73,0.746
PLA Bioplastic,Pizza Box,Food Packaging,8,19.88,6,64.93,2.08,1.236
Recycled PET,Hardware Container,Construction,9,16.71,2,91.02,3.28,2.141
Mushroom Packaging,Assembly Kit Box,Furniture,6,12.97,10,60.97,1.92,0.376
Corrugated Cardboard,Food Tray,Food Packaging,8,10.55,9,90.18,1.21,0.863
Kraft Paper,Fabric Wrap,Textiles,4,11.88,8,86.04,1.29,0.663
PLA Bioplastic,Action Figure Pack,Toys,9,15.73,7,60.39,1.92,1.244
Mushroom Packaging,Takeaway Container,Food Packaging,5,8.01,9,71.83,2.02,0.467
Mushroom Packaging,Takeaway Container,Food Packaging,5,15.23,10,72.18,2.34,0.363
Kraft Paper,Garment Bag,Textiles,6,10.39,9,87.85,1.29,0.64
Glass,Spare Parts Box,Automotive,9,20.52,1,98.11,3.34,1.752
Kraft Paper,TV Carton,Electronics,5,14.41,9,93.44,0.51,0.615
Recycled PET,Appliance Carton,Home Appliances,9,17.69,2,93.63,3.28,2.039
Corrugated Cardboard,Medical Container,Healthcare,7,34.87,8,87.58,1.74,0.65
Corrugated Cardboard,Board Game Box,Toys,6,15.66,9,90.38,0.65,0.794
Mushroom Packaging,Action Figure Pack,Toys,7,10.66,9,64.94,1.75,0.403
Mushroom Packaging,TV Carton,Electronics,6,12.13,10,66.23,1.53,0.384
PLA Bioplastic,Action Figure Pack,Toys,9,11.77,7,52.04,1.7,1.233
Recycled PET,Medical Container,Healthcare,8,18.3,2,87.12,2.63,2.074
Recycled PET,Pizza Box,Food Packaging,9,29.35,4,87.06,3.37,2.126
Glass,Clothing Box,Textiles,10,22.71,1,98.28,4.6,1.781
Mushroom Packaging,Syringe Pack,Healthcare,7,11.19,10,68.99,2.63,0.39
Mushroom Packaging,Takeaway Container,Food Packaging,7,8.79,10,66.36,2.01,0.456
Kraft Paper,Fabric Wrap,Textiles,5,5.76,10,86.84,1.31,0.638
Recycled PET,Assembly Kit Box,Furniture,8,22.23,2,87.82,2.68,2.083
Recycled PET,Oil Container,Automotive,10,20.83,2,93.14,3.95,2.05
Bagasse Fiber,Fabric Wrap,Textiles,5,13.91,9,80.46,1.88,0.463
PLA Bioplastic,Tablet Blister Pack,Healthcare,8,10.59,7,55.94,1.25,1.185
Corrugated Cardboard,Furniture Carton,Furniture,8,29.62,9,83.01,1.51,0.843
Corrugated Cardboard,Electronic Blister Pack,Electronics,7,13.13,9,90.23,0.99,0.854
Glass,Foam Insert Package,Home Appliances,10,36.17,1,96.94,4.75,1.805
Glass,Battery Packaging,Automotive,10,25.46,2,95.05,2.28,1.777
Corrugated Cardboard,Cream Jar,Cosmetics,9,17.8,8,87.83,0.76,0.796
Bagasse Fiber,Hardware Container,Construction,5,14.49,8,78.98,2.25,0.415
Bagasse Fiber,Food Tray,Food Packaging,7,6.67,9,78.39,1.19,0.504
Kraft Paper,Medicine Box,Healthcare,6,14.63,8,92.54,1.3,0.667
PLA Bioplastic,Pizza Box,Food Packaging,9,19.76,8,58.53,1.56,1.161
Mushroom Packaging,Oil Container,Automotive,5,9.35,9,62.93,2.68,0.375
Aluminum,Furniture Carton,Furniture,10,34.78,1,96.05,4.58,3.444
Kraft Paper,Beverage Bottle,Food Packaging,5,10.11,10,88.1,0.92,0.617
Mushroom Packaging,Food Tray,Food Packaging,7,15.24,9,78.08,1.9,0.383
Recycled PET,Action Figure Pack,Toys,8,24.82,4,89.02,2.03,2.1
PLA Bioplastic,Spare Parts Box,Automotive,7,11.17,7,60.15,1.07,1.147
Kraft Paper,Furniture Carton,Furniture,5,6.48,8,85.13,0.66,0.587
Glass,Garment Bag,Textiles,10,25.06,2,97.76,4.61,1.819
Aluminum,Syringe Pack,Healthcare,10,21.84,2,96.93,5.31,3.491
Recycled PET,Electronic Blister Pack,Electronics,10,22.81,2,90.22,3.68,2.078
PLA Bioplastic,Electronic Blister Pack,Electronics,9,8.58,6,66.97,2.53,1.291
Aluminum,Toy Box,Toys,8,27.1,1,96.9,4.87,3.462
Mushroom Packaging,Battery Packaging,Automotive,6,8.48,9,74.92,2.73,0.459
Mushroom Packaging,Garment Bag,Textiles,5,8.39,9,64.21,1.8,0.401
Corrugated Cardboard,Foam Insert Package,Home Appliances,8,31.83,9,87.44,1.86,0.796
Kraft Paper,Hardware Container,Construction,4,6.51,10,91.52,1.1,0.593
Recycled PET,Foam Insert Package,Home Appliances,10,21.41,4,86.9,2.9,2.123
Bagasse Fiber,Makeup Box,Cosmetics,5,13.08,8,75.44,0.99,0.459
PLA Bioplastic,Beverage Bottle,Food Packaging,6,17.4,7,50.7,1.89,1.261
Bagasse Fiber,Tablet Blister Pack,Healthcare,7,14.38,10,81.16,1.58,0.485
PLA Bioplastic,Appliance Carton,Home Appliances,7,12.74,8,56.64,2.73,1.236
Mushroom Packaging,Fabric Wrap,Textiles,5,10.59,10,73.65,2.46,0.493
Mushroom Packaging,Assembly Kit Box,Furniture,6,14.6,9,61.55,2.07,0.425
Aluminum,Action Figure Pack,Toys,8,32.93,2,96.06,5.43,3.502
Mushroom Packaging,Takeaway Container,Food Packaging,6,13.03,9,73.04,1.45,0.378
Corrugated Cardboard,Protective Cushioning Pack,Furniture,7,10.52,9,91.78,1.13,0.801
Aluminum,Spare Parts Box,Automotive,9,23.82,2,96.68,2.63,3.628
Glass,TV Carton,Electronics,9,20.39,2,97.87,4.96,1.892
PLA Bioplastic,Spare Parts Box,Automotive,8,14.48,7,56.96,2.84,1.172
Corrugated Cardboard,Protective Cushioning Pack,Furniture,7,11.61,7,80.93,0.92,0.664
Mushroom Packaging,Clothing Box,Textiles,5,15.68,10,77.27,3.17,0.273
Recycled PET,Garment Bag,Textiles,8,15.39,2,93.02,2.23,2.162
Bagasse Fiber,Makeup Box,Cosmetics,5,6.99,8,83.67,2.35,0.51
Recycled PET,Pizza Box,Food Packaging,8,23.23,4,89.92,3.38,2.127
Mushroom Packaging,Laptop Box,Electronics,6,16.41,10,79.32,3.05,0.379
Aluminum,Cosmetic Tube,Cosmetics,8,33.2,2,96.22,2.55,3.489
Bagasse Fiber,Pizza Box,Food Packaging,7,9.13,8,70.0,2.44,0.435
Bagasse Fiber,Syringe Pack,Healthcare,5,7.09,10,79.43,2.04,0.454
PLA Bioplastic,Beverage Bottle,Food Packaging,7,16.76,7,64.96,1.61,1.302
Corrugated Cardboard,Hardware Container,Construction,7,23.53,7,88.34,1.74,0.822
Bagasse Fiber,Makeup Box,Cosmetics,5,14.77,8,76.52,1.28,0.496
Recycled PET,Foam Insert Package,Home Appliances,9,19.36,3,90.63,3.68,2.065
PLA Bioplastic,Cream Jar,Cosmetics,8,9.33,8,62.05,1.23,1.249
Glass,Tile Packaging,Construction,9,20.89,1,99.93,4.81,1.773
PLA Bioplastic,Appliance Carton,Home Appliances,8,12.45,6,60.31,2.08,1.191
Bagasse Fiber,Cement Liner Bag,Construction,7,12.21,8,81.34,0.96,0.498
Glass,Toy Box,Toys,10,24.97,2,98.52,2.97,1.725
Mushroom Packaging,Board Game Box,Toys,6,14.87,10,71.22,1.23,0.417
Corrugated Cardboard,Battery Packaging,Automotive,8,23.02,9,80.72,1.2,0.828
Mushroom Packaging,Clothing Box,Textiles,7,8.1,9,75.13,1.89,0.341
Aluminum,TV Carton,Electronics,10,30.02,1,95.08,4.3,3.484
Kraft Paper,Hardware Container,Construction,6,5.7,8,85.14,0.66,0.621
Mushroom Packaging,Spare Parts Box,Automotive,7,16.15,9,73.46,1.89,0.392
Bagasse Fiber,Perfume Bottle,Cosmetics,6,13.89,8,70.6,2.06,0.564
Mushroom Packaging,Assembly Kit Box,Furniture,6,11.65,10,71.24,1.31,0.404
Mushroom Packaging,Assembly Kit Box,Furniture,7,17.3,10,61.22,3.28,0.342
Glass,Fabric Wrap,Textiles,9,21.79,2,95.77,5.41,1.893
Recycled PET,Tablet Blister Pack,Healthcare,8,18.33,4,93.12,3.17,2.114
Bagasse Fiber,Garment Bag,Textiles,6,10.12,9,76.06,1.81,0.52
Aluminum,Mobile Box,Electronics,9,34.38,2,97.83,5.18,3.444
PLA Bioplastic,Hardware Container,Construction,6,14.61,6,69.73,1.37,1.204
PLA Bioplastic,Syringe Pack,Healthcare,7,14.26,6,63.76,1.16,1.282
Mushroom Packaging,Board Game Box,Toys,7,13.76,9,64.1,1.75,0.443
Aluminum,Foam Insert Package,Home Appliances,8,34.64,2,99.42,4.88,3.511
Bagasse Fiber,Assembly Kit Box,Furniture,7,14.53,9,76.5,0.86,0.488
Aluminum,Cosmetic Tube,Cosmetics,9,30.15,2,99.09,4.25,3.565
Bagasse Fiber,Takeaway Container,Food Packaging,6,14.55,9,82.48,2.49,0.496
Mushroom Packaging,TV Carton,Electronics,7,17.01,10,64.19,3.17,0.427
Recycled PET,Assembly Kit Box,Furniture,10,21.83,3,90.0,2.8,2.138
Recycled PET,Toy Box,Toys,10,25.48,4,92.43,1.66,2.258
Corrugated Cardboard,Clothing Box,Textiles,9,33.75,9,88.27,1.75,0.826
Kraft Paper,Food Tray,Food Packaging,7,10.38,10,87.45,1.02,0.619
Glass,Makeup Box,Cosmetics,9,24.34,2,95.91,2.46,1.824
Kraft Paper,Cosmetic Tube,Cosmetics,4,5.04,8,89.31,0.41,0.55
Recycled PET,Protective Box,Home Appliances,8,28.39,4,86.85,3.77,2.09
Corrugated Cardboard,Fabric Wrap,Textiles,8,15.66,7,88.69,1.5,0.852
Glass,Assembly Kit Box,Furniture,10,38.69,2,99.39,5.32,1.931
Recycled PET,Pizza Box,Food Packaging,9,29.38,2,93.87,3.7,2.111
Glass,Takeaway Container,Food Packaging,9,23.05,1,98.32,4.29,1.802
Corrugated Cardboard,Assembly Kit Box,Furniture,6,17.67,8,80.45,1.28,0.789
Aluminum,Food Tray,Food Packaging,9,22.86,1,95.72,3.79,3.573
Corrugated Cardboard,Cosmetic Tube,Cosmetics,9,11.12,8,84.37,0.98,0.736
Aluminum,Protective Box,Home Appliances,9,21.38,1,95.47,3.8,3.484
Recycled PET,Syringe Pack,Healthcare,9,19.93,2,90.24,3.43,2.119
Aluminum,Garment Bag,Textiles,8,23.87,1,98.85,4.31,3.558
Mushroom Packaging,Battery Packaging,Automotive,6,17.38,9,78.48,3.25,0.407
PLA Bioplastic,Protective Box,Home Appliances,8,11.65,6,53.73,1.89,1.28
Mushroom Packaging,Makeup Box,Cosmetics,7,10.07,10,76.29,2.6,0.417
Corrugated Cardboard,Tablet Blister Pack,Healthcare,8,17.6,9,89.71,1.45,0.817
Bagasse Fiber,Assembly Kit Box,Furniture,5,6.96,8,83.48,1.81,0.432
Bagasse Fiber,Foam Insert Package,Home Appliances,6,8.36,10,70.61,1.99,0.55
Bagasse Fiber,TV Carton,Electronics,6,9.94,10,73.37,1.2,0.523
Mushroom Packaging,Battery Packaging,Automotive,5,8.83,9,79.38,2.38,0.463
Corrugated Cardboard,Fabric Wrap,Textiles,6,23.46,7,82.2,0.66,0.915
Bagasse Fiber,Cream Jar,Cosmetics,5,10.43,9,83.46,1.45,0.494
Glass,Assembly Kit Box,Furniture,10,20.86,1,98.28,3.95,1.777
Kraft Paper,Electronic Blister Pack,Electronics,6,9.24,10,93.36,1.08,0.686
Glass,Clothing Box,Textiles,9,39.71,2,99.78,5.8,1.955
Corrugated Cardboard,Medicine Box,Healthcare,7,14.28,9,84.47,1.4,0.788
Recycled PET,Oil Container,Automotive,8,24.52,3,85.4,3.36,2.063
Aluminum,Spare Parts Box,Automotive,8,33.59,1,95.18,4.02,3.539
PLA Bioplastic,TV Carton,Electronics,9,9.04,7,51.55,2.27,1.297
Recycled PET,Protective Box,Home Appliances,10,21.28,2,85.81,1.68,2.108
Aluminum,Foam Insert Package,Home Appliances,10,21.1,1,95.53,3.26,3.512
Glass,Spare Parts Box,Automotive,10,34.93,2,96.22,3.45,1.824
Recycled PET,Laptop Box,Electronics,8,26.49,3,92.52,2.68,2.165
Aluminum,Appliance Carton,Home Appliances,8,27.86,1,98.45,2.64,3.536
Aluminum,Tablet Blister Pack,Healthcare,10,20.39,1,98.79,2.92,3.53
Kraft Paper,Mobile Box,Electronics,7,8.94,9,87.21,0.63,0.609
Recycled PET,Cosmetic Tube,Cosmetics,8,26.78,2,89.69,3.93,2.051
PLA Bioplastic,Toy Box,Toys,6,13.59,8,59.04,1.66,1.126
Aluminum,Hardware Container,Construction,8,20.9,1,97.94,3.95,3.532
Mushroom Packaging,Laptop Box,Electronics,5,11.35,9,66.58,1.65,0.463
Glass,Protective Cushioning Pack,Furniture,10,36.93,2,98.0,4.44,1.818
Bagasse Fiber,Action Figure Pack,Toys,5,14.72,8,82.76,1.28,0.391
Kraft Paper,Garment Bag,Textiles,7,9.99,10,92.21,0.55,0.584
Aluminum,Fabric Wrap,Textiles,9,32.42,2,95.94,4.05,3.506
Aluminum,Protective Box,Home Appliances,8,31.57,2,99.42,2.52,3.568
Bagasse Fiber,Action Figure Pack,Toys,6,7.29,10,77.83,0.81,0.471
Recycled PET,Foam Insert Package,Home Appliances,9,15.64,4,86.35,2.05,2.154
PLA Bioplastic,Electronic Blister Pack,Electronics,6,19.18,8,61.11,1.07,1.188
Mushroom Packaging,Makeup Box,Cosmetics,6,9.17,9,61.78,1.45,0.376
Aluminum,Syringe Pack,Healthcare,10,29.47,1,97.89,3.52,3.467
Glass,Food Tray,Food Packaging,9,33.54,2,95.1,5.21,1.768
Mushroom Packaging,Clothing Box,Textiles,6,11.13,9,66.93,2.52,0.34
Kraft Paper,Perfume Bottle,Cosmetics,4,5.57,8,86.2,0.92,0.645
Aluminum,Action Figure Pack,Toys,8,24.73,2,95.92,3.38,3.436
Kraft Paper,Assembly Kit Box,Furniture,5,11.99,9,93.82,1.42,0.562
Recycled PET,Toy Box,Toys,10,24.22,3,90.46,2.49,2.029
Mushroom Packaging,Mobile Box,Electronics,7,16.99,9,73.69,1.4,0.424
Kraft Paper,Takeaway Container,Food Packaging,4,12.89,8,89.9,1.04,0.646
Mushroom Packaging,Garment Bag,Textiles,7,10.03,10,69.97,1.46,0.341
Corrugated Cardboard,Hardware Container,Construction,8,14.27,7,82.23,1.02,0.88
